item_id,dept_id,avg_daily_demand,median_demand,demand_std,coefficient_of_variation,cv2,adi,total_demand,p25,p75,p95,zero_rate,sale_frequency,sale_frequency_28,sale_frequency_90,non_zero_sales_28,non_zero_sales_90,demand_pattern,abc_class,xyz_class,abc_xyz,velocity_class,mean_price,price_std,price_cv,price_range_pct,revenue,safety_stock_95,safety_stock_98,safety_stock_99,safety_stock_lt_risk,reorder_point_lt_min,reorder_point_lt_med,reorder_point_lt_max,avg_order_qty_suggested,procurement_risk_tier,stockout_risk_score,replenishment_urgency
FOODS_2_197,FOODS_2,18.594520547945205,17.0,9.314150236770901,0.5009083300778765,0.222089880529093,1.023876404494382,13574,12.0,24.0,36.0,0.023287671232876714,0.9767123287671233,1.0,1.0,28,90,Smooth,A,X,AX,Fast,3.3513424657534245,0.06455593148741626,0.01926270804822188,0.041774304306595636,45491.12263013698,40.538,50.617,57.319,93.375,96.322,170.7,300.861,557.84,LOW,0.0117,Normal
FOODS_2_019,FOODS_2,15.687671232876712,15.0,7.183579929550513,0.4579124474535102,0.18674521136810854,1.0195804195804197,11452,11.0,20.0,28.549999999999955,0.019178082191780823,0.9808219178082191,1.0,1.0,28,90,Smooth,A,X,AX,Fast,3.352109589041096,0.06489150207063439,0.019358407100645313,0.0417647443441873,38388.35901369863,31.265,39.038,44.208,77.549,78.328,141.079,250.892,470.63,LOW,0.0088,Normal
HOUSEHOLD_1_032,HOUSEHOLD_1,4.587671232876712,4.0,4.778503382529271,1.0415967358871312,0.4603475082285478,1.4294117647058824,3349,0.0,7.0,14.0,0.3,0.7,0.9285714285714286,0.9777777777777777,26,88,Intermittent,A,Y,AY,Fast,10.713178082191781,0.20961793858681374,0.01956636368579141,0.08214182507269235,35878.433397260276,23.917,29.863,33.818,29.381,37.68,56.031,88.144,137.63,MEDIUM,0.3125,Watch
HOUSEHOLD_1_535,HOUSEHOLD_1,6.278082191780822,6.0,4.293440252143258,0.683877674790606,0.2610201339441376,1.1645367412140575,4583,3.25,9.0,14.0,0.1410958904109589,0.8589041095890411,1.0,1.0,28,90,Smooth,A,X,AX,Fast,6.969999999999999,0.0,0.0,0.0,31943.509999999995,18.686,23.332,26.422,33.996,37.52,62.633,106.579,188.34,LOW,0.0965,Normal
FOODS_2_244,FOODS_2,6.083561643835616,6.0,4.6283673768368,0.7607989607150373,0.33713141920250667,1.1815235008103728,4441,3.0,8.0,14.0,0.15342465753424658,0.8465753424657534,1.0,0.9444444444444444,28,85,Smooth,A,X,AX,Fast,5.915835616438357,0.029447129483275963,0.004977678791724892,0.01014226964543745,26272.225972602744,20.144,25.152,28.483,34.105,38.395,62.729,105.314,182.51,LOW,0.1167,Normal
HOUSEHOLD_1_110,HOUSEHOLD_1,9.580821917808219,9.0,5.374945875082609,0.5610109362883567,0.21239160462585707,1.0848214285714286,6994,6.0,13.0,18.0,0.07808219178082192,0.9219178082191781,1.0,0.9888888888888889,28,89,Smooth,A,X,AX,Fast,3.74686301369863,0.1975651385049915,0.05272814559344394,0.12543826616603485,26205.55991780822,23.393,29.209,33.078,49.251,52.135,90.459,157.525,287.42,LOW,0.0438,Normal
FOODS_2_276,FOODS_2,10.689041095890412,10.0,6.112463387992111,0.5718439411529918,0.30015805841539545,1.0210084033613445,7803,7.0,14.0,22.0,0.02054794520547945,0.9794520547945206,1.0,1.0,28,90,Smooth,A,X,AX,Fast,3.352109589041096,0.06489150207063439,0.019358407100645313,0.0417647443441873,26156.51112328767,26.603,33.217,37.616,55.19,58.67,101.426,176.25,320.67,LOW,0.0118,Normal
FOODS_2_052,FOODS_2,2.647945205479452,2.0,2.2593858778311344,0.8532600570066468,0.3238416155938375,1.3064516129032258,1933,1.0,4.0,6.5499999999999545,0.23424657534246576,0.7657534246575343,0.9285714285714286,0.9222222222222223,26,83,Smooth,A,X,AX,Fast,13.473575342465754,0.959421385095492,0.07120763128637476,0.22340024258543612,26044.4211369863,9.833,12.278,13.904,15.498,17.777,28.369,46.904,79.44,LOW,0.1999,Normal
HOUSEHOLD_1_053,HOUSEHOLD_1,2.3589041095890413,2.0,2.083847575239712,0.8833964746109815,0.3713166024015409,1.1408199643493762,1722,1.0,4.0,6.0,0.23013698630136986,0.7698630136986301,0.8571428571428571,0.9333333333333333,24,84,Smooth,A,X,AX,Medium,14.97,0.0,0.0,0.0,25778.34,9.069,11.324,12.824,14.005,16.146,25.581,42.094,70.77,LOW,0.2033,Normal
HOUSEHOLD_1_106,HOUSEHOLD_1,3.8643835616438356,3.0,3.3186013666848657,0.8587660393665554,0.45737366557658143,1.1342062193126023,2821,1.0,5.0,10.0,0.16164383561643836,0.8383561643835616,1.0,0.9555555555555556,28,86,Smooth,A,X,AX,Fast,9.102904109589042,0.21800140725081457,0.0239485558263951,0.05382897524800156,25679.29249315069,14.443,18.035,20.423,22.676,26.036,41.494,68.544,115.93,LOW,0.1388,Normal
HOUSEHOLD_1_272,HOUSEHOLD_1,3.182191780821918,2.0,3.654002964127185,1.148266105456139,0.36337161782860533,1.7032710280373833,2323,0.0,5.0,10.0,0.4123287671232877,0.5876712328767123,1.0,0.5777777777777777,28,52,Intermittent,A,Y,AY,Fast,9.97,0.0,0.0,0.0,23160.31,18.289,22.836,25.86,21.451,27.836,40.564,62.84,95.47,MEDIUM,0.4735,Watch
HOUSEHOLD_1_096,HOUSEHOLD_1,8.391780821917807,8.0,5.117516344966772,0.6098248337219346,0.26327892432903427,1.0864381520119224,6126,5.0,11.0,18.0,0.07945205479452055,0.9205479452054794,1.0,1.0,28,90,Smooth,A,X,AX,Fast,3.74686301369863,0.1975651385049915,0.05272814559344394,0.12543826616603485,22953.282821917808,22.273,27.81,31.493,44.014,47.448,81.015,139.758,251.75,LOW,0.0485,Normal
HOUSEHOLD_1_514,HOUSEHOLD_1,8.058904109589042,8.0,4.655305873047113,0.577659916182679,0.2335534170097986,1.0816023738872405,5883,5.0,11.0,16.0,0.07534246575342465,0.9246575342465754,1.0,1.0,28,90,Smooth,A,X,AX,Fast,3.74686301369863,0.1975651385049915,0.05272814559344394,0.12543826616603485,22042.795109589042,20.261,25.299,28.649,41.708,44.438,76.673,133.086,241.77,LOW,0.0435,Normal
