date,item_id,forecast
2016-05-23,FOODS_1_004,4.3357
2016-05-24,FOODS_1_004,3.3598
2016-05-25,FOODS_1_004,2.8924
2016-05-26,FOODS_1_004,2.8184
2016-05-27,FOODS_1_004,2.9269
2016-05-28,FOODS_1_004,3.3141
2016-05-29,FOODS_1_004,3.2344
2016-05-23,FOODS_1_006,2.3119
2016-05-24,FOODS_1_006,2.0174
2016-05-25,FOODS_1_006,1.8523
2016-05-26,FOODS_1_006,1.7161
2016-05-27,FOODS_1_006,1.6374
2016-05-28,FOODS_1_006,2.0494
2016-05-29,FOODS_1_006,1.9895
2016-05-23,FOODS_1_012,4.1691
2016-05-24,FOODS_1_012,3.3328
2016-05-25,FOODS_1_012,2.8798
2016-05-26,FOODS_1_012,2.638
2016-05-27,FOODS_1_012,2.5955
2016-05-28,FOODS_1_012,2.9103
2016-05-29,FOODS_1_012,3.0848
2016-05-23,FOODS_1_013,1.0585
2016-05-24,FOODS_1_013,1.3228
2016-05-25,FOODS_1_013,1.5362
2016-05-26,FOODS_1_013,1.5044
2016-05-27,FOODS_1_013,1.5517
2016-05-28,FOODS_1_013,1.6156
2016-05-29,FOODS_1_013,1.5523
2016-05-23,FOODS_1_017,1.7035
2016-05-24,FOODS_1_017,1.178
2016-05-25,FOODS_1_017,1.061
2016-05-26,FOODS_1_017,1.1145
2016-05-27,FOODS_1_017,1.0649
2016-05-28,FOODS_1_017,1.3386
2016-05-29,FOODS_1_017,1.2994
2016-05-23,FOODS_1_018,12.1666
2016-05-24,FOODS_1_018,9.3836
2016-05-25,FOODS_1_018,8.0018
2016-05-26,FOODS_1_018,7.9094
2016-05-27,FOODS_1_018,7.4711
2016-05-28,FOODS_1_018,9.6602
2016-05-29,FOODS_1_018,9.9272
2016-05-23,FOODS_1_019,11.4885
2016-05-24,FOODS_1_019,8.509
2016-05-25,FOODS_1_019,6.7382
2016-05-26,FOODS_1_019,6.6446
2016-05-27,FOODS_1_019,8.7084
2016-05-28,FOODS_1_019,10.8812
2016-05-29,FOODS_1_019,12.2462
2016-05-23,FOODS_1_021,0.4169
2016-05-24,FOODS_1_021,1.5242
2016-05-25,FOODS_1_021,1.6501
2016-05-26,FOODS_1_021,1.5035
2016-05-27,FOODS_1_021,1.4209
2016-05-28,FOODS_1_021,1.7318
2016-05-29,FOODS_1_021,1.6787
2016-05-23,FOODS_1_023,2.5067
2016-05-24,FOODS_1_023,2.0995
2016-05-25,FOODS_1_023,2.0298
2016-05-26,FOODS_1_023,2.0818
2016-05-27,FOODS_1_023,1.9101
2016-05-28,FOODS_1_023,2.1546
2016-05-29,FOODS_1_023,2.1434
2016-05-23,FOODS_1_027,1.7623
2016-05-24,FOODS_1_027,1.7214
2016-05-25,FOODS_1_027,1.4764
2016-05-26,FOODS_1_027,1.4604
2016-05-27,FOODS_1_027,1.5216
2016-05-28,FOODS_1_027,1.5691
2016-05-29,FOODS_1_027,1.6414
2016-05-23,FOODS_1_028,1.5283
2016-05-24,FOODS_1_028,1.3045
2016-05-25,FOODS_1_028,1.0972
2016-05-26,FOODS_1_028,1.1092
2016-05-27,FOODS_1_028,1.1278
2016-05-28,FOODS_1_028,1.1446
2016-05-29,FOODS_1_028,1.0974
2016-05-23,FOODS_1_032,3.84
2016-05-24,FOODS_1_032,3.0628
2016-05-25,FOODS_1_032,2.8135
2016-05-26,FOODS_1_032,3.0443
2016-05-27,FOODS_1_032,3.7503
2016-05-28,FOODS_1_032,4.6388
2016-05-29,FOODS_1_032,4.0311
2016-05-23,FOODS_1_036,2.9226
2016-05-24,FOODS_1_036,2.1759
2016-05-25,FOODS_1_036,1.9392
2016-05-26,FOODS_1_036,1.8351
2016-05-27,FOODS_1_036,1.912
2016-05-28,FOODS_1_036,2.2145
2016-05-29,FOODS_1_036,2.1633
