store_id,item_id,wm_yr_wk,sell_price
CA_1,HOUSEHOLD_1_004,11101,1.98
CA_1,HOUSEHOLD_1_004,11102,1.98
CA_1,HOUSEHOLD_1_004,11103,1.98
CA_1,HOUSEHOLD_1_004,11104,1.98
CA_1,HOUSEHOLD_1_004,11105,1.98
CA_1,HOUSEHOLD_1_004,11106,1.98
CA_1,HOUSEHOLD_1_004,11107,1.98
CA_1,HOUSEHOLD_1_004,11108,1.98
CA_1,HOUSEHOLD_1_004,11109,1.98
CA_1,HOUSEHOLD_1_004,11110,1.98
CA_1,HOUSEHOLD_1_004,11111,1.98
CA_1,HOUSEHOLD_1_004,11112,1.98
CA_1,HOUSEHOLD_1_004,11113,1.98
CA_1,HOUSEHOLD_1_004,11114,1.98
CA_1,HOUSEHOLD_1_004,11115,1.98
CA_1,HOUSEHOLD_1_004,11116,1.98
CA_1,HOUSEHOLD_1_004,11117,1.98
CA_1,HOUSEHOLD_1_004,11118,1.98
CA_1,HOUSEHOLD_1_004,11119,1.98
CA_1,HOUSEHOLD_1_004,11120,1.98
CA_1,HOUSEHOLD_1_004,11121,1.98
CA_1,HOUSEHOLD_1_004,11122,1.98
CA_1,HOUSEHOLD_1_004,11123,1.98
CA_1,HOUSEHOLD_1_004,11124,1.98
CA_1,HOUSEHOLD_1_004,11125,1.98
CA_1,HOUSEHOLD_1_004,11126,1.98
CA_1,HOUSEHOLD_1_004,11127,1.98
CA_1,HOUSEHOLD_1_004,11128,1.98
CA_1,HOUSEHOLD_1_004,11129,1.98
CA_1,HOUSEHOLD_1_004,11130,1.98
CA_1,HOUSEHOLD_1_004,11131,1.98
CA_1,HOUSEHOLD_1_004,11132,1.98
CA_1,HOUSEHOLD_1_004,11133,1.98
CA_1,HOUSEHOLD_1_004,11134,1.98
CA_1,HOUSEHOLD_1_004,11135,1.98
CA_1,HOUSEHOLD_1_004,11136,1.98
CA_1,HOUSEHOLD_1_004,11137,1.98
CA_1,HOUSEHOLD_1_004,11138,1.98
CA_1,HOUSEHOLD_1_004,11139,1.98
CA_1,HOUSEHOLD_1_004,11140,1.98
CA_1,HOUSEHOLD_1_004,11141,2.37
CA_1,HOUSEHOLD_1_004,11142,2.37
CA_1,HOUSEHOLD_1_004,11143,2.37
CA_1,HOUSEHOLD_1_004,11144,2.37
CA_1,HOUSEHOLD_1_004,11145,2.37
CA_1,HOUSEHOLD_1_004,11146,2.37
CA_1,HOUSEHOLD_1_004,11147,2.37
CA_1,HOUSEHOLD_1_004,11148,2.37
CA_1,HOUSEHOLD_1_004,11149,2.37
CA_1,HOUSEHOLD_1_004,11150,2.37
CA_1,HOUSEHOLD_1_004,11151,2.37
CA_1,HOUSEHOLD_1_004,11152,2.37
CA_1,HOUSEHOLD_1_004,11201,2.37
CA_1,HOUSEHOLD_1_004,11202,2.37
